candidate_id,rank,score,reasoning
CAND_0075574,14,0.385408,Machine Learning Engineer at Haptik (5.7 yrs) demonstrates hands-on depth in Vector Search and Weaviate; a credible match for most dimensions of production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period.
CAND_0050454,15,0.383755,Relevant and credible: 6.8-year career as AI Engineer at Rephrase.ai with hands-on depth in Faiss and Qdrant aligning to the primary requirements of production ranking and retrieval system requirements for a founding AI engineer. Note: limited visible external validation (open source / GitHub).
CAND_0005649,16,0.382721,"Well-evidenced fit — 7.4 years as Senior Data Scientist at Sarvam AI with hands-on depth in Information Retrieval and Semantic Search, solid alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0046525,17,0.381919,"Strong candidate: Senior Machine Learning Engineer at Genpact AI with 6.1 years and hands-on depth in Information Retrieval and Sentence Transformers, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period."
CAND_0037980,18,0.380396,Senior Applied Scientist at Niramai (9 yrs) demonstrates hands-on depth in Document Processing and Indexing Algorithms; a credible match for most dimensions of production ranking and retrieval system requirements for a founding AI engineer.
CAND_0011162,19,0.379546,"Strong candidate: Recommendation Systems Engineer at upGrad with 5.8 years and hands-on depth in Vector Search and Embeddings, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0030468,20,0.378862,Clear industry experience: 5.4 years as Senior Applied Scientist at Swiggy showing hands-on depth in Information Retrieval Systems and Search & Discovery — a reliable profile for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period.
CAND_0042506,21,0.378526,"Strong candidate: Search Engineer at Verloop.io with 4.2 years and hands-on depth in Information Retrieval and Semantic Search, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role."
CAND_0099806,22,0.377768,"Strong candidate: AI Engineer at Mad Street Den with 4.6 years and hands-on depth in Embeddings and Sentence Transformers, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role."
CAND_0046064,23,0.377528,Senior NLP Engineer at Salesforce (8.9 yrs) demonstrates hands-on depth in Semantic Search and Pinecone; a credible match for most dimensions of production ranking and retrieval system requirements for a founding AI engineer.
CAND_0091909,24,0.376596,Good overall fit: Machine Learning Engineer at Rephrase.ai (6.9 yrs) with hands-on depth in Sentence Transformers and Pinecone that maps well to the JD's must-haves for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period.
CAND_0074225,25,0.376474,"Strong candidate: Machine Learning Engineer at Unacademy with 4.3 years and hands-on depth in Vector Search and Semantic Search, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role."
CAND_0010257,26,0.374764,"Strong candidate: Senior Data Scientist at Google with 6.5 years and hands-on depth in Milvus and Qdrant, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period."
CAND_0077285,27,0.373275,"Strong candidate: Recommendation Systems Engineer at Nykaa with 5.5 years and hands-on depth in Information Retrieval and Embeddings, covering the key requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period."
CAND_0039838,28,0.370767,Relevant and credible: 4.9-year career as Recommendation Systems Engineer at Amazon with hands-on depth in Vector Search and Embeddings aligning to the primary requirements of production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period.
CAND_0068811,29,0.370712,"Well-evidenced fit — 8 years as Applied ML Engineer at Freshworks with hands-on depth in Vector Search and Embeddings, solid alignment with production ranking and retrieval system requirements for a founding AI engineer."
CAND_0041610,30,0.370422,Good overall fit: Recommendation Systems Engineer at Zoho (6.7 yrs) with hands-on depth in Embeddings and Pgvector that maps well to the JD's must-haves for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0078002,31,0.368927,"Relevant background as Machine Learning Engineer at Meta (6.3 yrs) with hands-on depth in Weaviate and Pgvector; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0006418,32,0.368272,5.7-year career as Machine Learning Engineer at Verloop.io surfaces hands-on depth in Embeddings and Semantic Search; positions the candidate in the middle tier for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period.
CAND_0045250,33,0.368032,"Applied ML Engineer at Rephrase.ai with 6.6 years shows hands-on depth in Vector Search and Embeddings, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: limited visible external validation (open source / GitHub)."
CAND_0010685,34,0.367807,"Relevant background as NLP Engineer at Rephrase.ai (6.7 yrs) with hands-on depth in Information Retrieval and Elasticsearch; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: limited visible external validation (open source / GitHub)."
CAND_0052328,35,0.366562,"Relevant background as Recommendation Systems Engineer at Amazon (6.5 yrs) with hands-on depth in Vector Search and Sentence Transformers; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0058688,36,0.366147,Credible but incomplete coverage: AI Engineer at Vedantu (6.7 yrs) with hands-on depth in Information Retrieval and Embeddings; secondary JD requirements are only partially met.
CAND_0081053,37,0.365571,"NLP Engineer at Glance with 5.4 years shows hands-on depth in Semantic Search and Weaviate, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0049538,38,0.365062,"Applied ML Engineer at Saarthi.ai with 5.8 years shows hands-on depth in Vector Search and Embeddings, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer."
CAND_0065195,39,0.364617,Partially matching profile: Search Engineer at CRED (5.1 yrs) brings hands-on depth in Qdrant and Pgvector but falls short on several secondary criteria for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0074735,40,0.363629,"Relevant background as Applied ML Engineer at Rephrase.ai (5.5 yrs) with hands-on depth in Information Retrieval and Vector Search; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0037566,41,0.363472,"Machine Learning Engineer at LinkedIn with 6.9 years shows hands-on depth in Pinecone and Elasticsearch, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer."
CAND_0041669,42,0.363162,"Mid-tier fit — 8 years as Recommendation Systems Engineer at CRED evidences hands-on depth in Information Retrieval and Semantic Search, though gaps remain relative to the top candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period."
CAND_0044222,43,0.362385,"Some meaningful signal from 7.7 years as AI Engineer at PolicyBazaar: hands-on depth in Vector Search and Weaviate, though depth on other must-haves is thinner."
CAND_0007009,44,0.360195,"Reasonable candidate on paper: 7.9-year track record as Recommendation Systems Engineer at Wysa includes hands-on depth in Embeddings and Sentence Transformers, though signal strength is mixed across all channels for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0030031,45,0.360053,5.7-year career as AI Engineer at Microsoft surfaces hands-on depth in Information Retrieval and Vector Search; positions the candidate in the middle tier for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0052682,46,0.35988,Credible but incomplete coverage: NLP Engineer at Aganitha (6.6 yrs) with hands-on depth in Embeddings and Semantic Search; secondary JD requirements are only partially met.
CAND_0086022,47,0.357336,"Relevant background as Senior Applied Scientist at Sarvam AI (5.3 yrs) with hands-on depth in Vector Search and Embeddings; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0064904,48,0.357019,Moderate fit: hands-on depth in Vector Search and Embeddings from 4.9 years as AI Engineer at LinkedIn addresses parts of the JD but leaves gaps in other priority areas for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period.
CAND_0006557,49,0.355186,"NLP Engineer at Paytm with 7.9 years shows hands-on depth in Information Retrieval and Vector Search, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period."
CAND_0029367,50,0.354688,Credible but incomplete coverage: Senior Data Scientist at Rephrase.ai (5.7 yrs) with hands-on depth in Vector Search and Sentence Transformers; secondary JD requirements are only partially met. Note: a 90-day notice period.
CAND_0066376,51,0.351896,"Reasonable candidate on paper: 5.7-year track record as Applied ML Engineer at Dream11 includes hands-on depth in Information Retrieval and Semantic Search, though signal strength is mixed across all channels for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0068351,52,0.350789,Credible but incomplete coverage: Lead AI Engineer at Sarvam AI (6.4 yrs) with hands-on depth in Information Retrieval Systems and Text Encoders; secondary JD requirements are only partially met. Note: limited visible external validation (open source / GitHub).
CAND_0027691,53,0.349768,"Useful background (6.5 yrs, NLP Engineer at Haptik) with hands-on depth in Embeddings and Semantic Search; breadth is there but depth on critical requirements is uneven for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0061655,54,0.34891,"Relevant background as Machine Learning Engineer at Krutrim (4.6 yrs) with hands-on depth in Pinecone and Qdrant; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role."
CAND_0096142,55,0.348694,"Useful background (5 yrs, Applied ML Engineer at upGrad) with hands-on depth in Pinecone and Weaviate; breadth is there but depth on critical requirements is uneven for production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period."
CAND_0098846,56,0.346413,"AI Engineer at upGrad with 7.6 years shows hands-on depth in Qdrant and Recommendation Systems, offering partial alignment with production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
CAND_0039383,57,0.345059,"Relevant background as Applied ML Engineer at Meesho (7.1 yrs) with hands-on depth in Vector Search and Faiss; covers some, but not all, of the requirements for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0050876,58,0.344854,"Mid-tier fit — 6 years as Applied ML Engineer at Freshworks evidences hands-on depth in Sentence Transformers and Faiss, though gaps remain relative to the top candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0066999,59,0.344422,5.9-year career as Recommendation Systems Engineer at Microsoft surfaces hands-on depth in Information Retrieval and Embeddings; positions the candidate in the middle tier for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0070398,60,0.344295,"Some meaningful signal from 7.2 years as Machine Learning Engineer at Genpact AI: hands-on depth in Information Retrieval and Embeddings, though depth on other must-haves is thinner. Note: a 120-day notice period."
CAND_0078492,61,0.343406,"Weaker match overall: Recommendation Systems Engineer at Verloop.io (5.1 yrs) demonstrates hands-on depth in Faiss and Qdrant, yet the profile falls short on multiple must-have criteria for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0024620,62,0.339321,Outside the stronger cohort despite hands-on depth in Information Retrieval and Semantic Search: 5.9 years as AI Engineer at PharmEasy leaves notable gaps in the criteria most weighted for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period.
CAND_0040117,63,0.338997,"Ranked here for completeness: 6.5-year career as Recommendation Systems Engineer at PhonePe shows hands-on depth in Embeddings and Faiss, but the strength of signal does not justify a higher position for production ranking and retrieval system requirements for a founding AI engineer. Note: limited visible external validation (open source / GitHub)."
CAND_0042100,64,0.338077,"Machine Learning Engineer at Freshworks (7.3 yrs) shows some alignment via hands-on depth in Semantic Search and Pinecone, but does not clear the bar set by higher-ranked candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0053695,65,0.337702,"Recommendation Systems Engineer at Meesho (5.8 yrs) shows some alignment via hands-on depth in Embeddings and Sentence Transformers, but does not clear the bar set by higher-ranked candidates for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0009691,66,0.33424,"Thin evidence overall: Applied ML Engineer at LinkedIn (6.2 yrs) with hands-on depth in Sentence Transformers and Pinecone, though the JD's core and secondary requirements for production ranking and retrieval system requirements for a founding AI engineer are only partially addressed. Note: a 120-day notice period."
CAND_0044883,67,0.334065,Included in the top 100 but outside the stronger cohort: AI Engineer at Mad Street Den (6.3 yrs) with hands-on depth in Embeddings and Semantic Search; depth on core requirements for production ranking and retrieval system requirements for a founding AI engineer is limited. Note: a 90-day notice period.
CAND_0037944,68,0.333467,"Ranked here for completeness: 4.9-year career as Senior Data Scientist at Vedantu shows hands-on depth in Vector Search and Embeddings, but the strength of signal does not justify a higher position for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0011432,69,0.331413,Adjacent skills only — 7.6-year background as Senior Data Scientist at Amazon surfaces hands-on depth in Pgvector and Elasticsearch but lacks the depth expected for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period.
CAND_0083307,70,0.331089,Included in the top 100 but outside the stronger cohort: Search Engineer at CRED (7.8 yrs) with hands-on depth in Vector Search and Embeddings; depth on core requirements for production ranking and retrieval system requirements for a founding AI engineer is limited. Note: a 120-day notice period.
CAND_0042029,71,0.331042,Outside the stronger cohort despite hands-on depth in Embeddings and Weaviate: 6.5 years as Senior Data Scientist at Flipkart leaves notable gaps in the criteria most weighted for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period.
CAND_0086151,72,0.330753,"Lower-confidence match: hands-on depth in Embeddings and Sentence Transformers is present across 7.7 years as Recommendation Systems Engineer at Wysa, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period."
CAND_0043228,73,0.329586,Adjacent skills only — 6.8-year background as Applied ML Engineer at Zoho surfaces hands-on depth in Vector Search and Sentence Transformers but lacks the depth expected for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0015578,74,0.329559,"Peripheral fit: 5.4 years as AI Engineer at Zoho with hands-on depth in Embeddings and Sentence Transformers, though critical coverage gaps push this profile to the lower tier for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0044855,75,0.32921,Included in the top 100 but outside the stronger cohort: Senior Data Scientist at Flipkart (6.6 yrs) with hands-on depth in Information Retrieval and Vector Search; depth on core requirements for production ranking and retrieval system requirements for a founding AI engineer is limited. Note: a 60-day notice period.
CAND_0051292,76,0.325628,"Partial overlap with the JD: Applied ML Engineer at Freshworks (5.2 yrs) brings hands-on depth in Vector Search and Faiss, yet coverage of the full requirement set for production ranking and retrieval system requirements for a founding AI engineer is incomplete."
CAND_0079284,77,0.323784,Adjacent skills only — 4.9-year background as Machine Learning Engineer at Google surfaces hands-on depth in Qdrant and Elasticsearch but lacks the depth expected for production ranking and retrieval system requirements for a founding AI engineer.
CAND_0060054,78,0.322189,"Ranked here for completeness: 6.4-year career as AI Engineer at Mad Street Den shows hands-on depth in Semantic Search and Faiss, but the strength of signal does not justify a higher position for production ranking and retrieval system requirements for a founding AI engineer. Note: limited visible external validation (open source / GitHub)."
CAND_0007460,79,0.321416,"Ranked here for completeness: 4.7-year career as AI Engineer at Salesforce shows hands-on depth in Information Retrieval and Embeddings, but the strength of signal does not justify a higher position for production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period."
CAND_0057563,80,0.319226,"Lower-confidence match: hands-on depth in Elasticsearch and Opensearch is present across 6.8 years as NLP Engineer at Locobuzz, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 60-day notice period."
CAND_0064270,81,0.319069,"Peripheral fit: 4.2 years as Applied ML Engineer at Verloop.io with hands-on depth in Embeddings and Sentence Transformers, though critical coverage gaps push this profile to the lower tier for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role."
CAND_0087364,82,0.31697,"Thin evidence overall: Recommendation Systems Engineer at Glance (4.9 yrs) with hands-on depth in Pinecone and Milvus, though the JD's core and secondary requirements for production ranking and retrieval system requirements for a founding AI engineer are only partially addressed."
CAND_0031593,83,0.31687,"Lower-confidence match: hands-on depth in Embeddings and Elasticsearch is present across 7.8 years as Search Engineer at Genpact AI, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0094056,84,0.316179,Adjacent skills only — 5.9-year background as NLP Engineer at Rephrase.ai surfaces hands-on depth in Embeddings and Sentence Transformers but lacks the depth expected for production ranking and retrieval system requirements for a founding AI engineer. Note: a 120-day notice period.
CAND_0022812,85,0.315874,Outside the stronger cohort despite hands-on depth in Sentence Transformers and Pinecone: 4.5 years as Applied ML Engineer at Dream11 leaves notable gaps in the criteria most weighted for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role.
CAND_0087630,86,0.308496,"Lower-confidence match: hands-on depth in Embeddings and Sentence Transformers is present across 7.2 years as AI Engineer at Vedantu, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer."
CAND_0015528,87,0.307313,Included in the top 100 but outside the stronger cohort: Applied ML Engineer at Krutrim (7.4 yrs) with hands-on depth in Information Retrieval and Faiss; depth on core requirements for production ranking and retrieval system requirements for a founding AI engineer is limited.
CAND_0030953,88,0.301248,"Weaker match overall: Search Engineer at Nykaa (7.8 yrs) demonstrates hands-on depth in Weaviate and Qdrant, yet the profile falls short on multiple must-have criteria for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
CAND_0096172,89,0.300273,"Ranked here for completeness: 5.2-year career as NLP Engineer at Krutrim shows hands-on depth in Semantic Search and Sentence Transformers, but the strength of signal does not justify a higher position for production ranking and retrieval system requirements for a founding AI engineer. Note: a 45-day notice period."
CAND_0099401,90,0.298838,"Thin evidence overall: NLP Engineer at Dream11 (7.7 yrs) with hands-on depth in Information Retrieval and Embeddings, though the JD's core and secondary requirements for production ranking and retrieval system requirements for a founding AI engineer are only partially addressed. Note: a 90-day notice period."
CAND_0051630,91,0.290229,"Lower-confidence match: hands-on depth in Information Retrieval and Embeddings is present across 6 years as Machine Learning Engineer at Razorpay, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
CAND_0080766,92,0.284304,"Thin evidence overall: Staff Machine Learning Engineer at Salesforce (8.8 yrs) with hands-on depth in Information Retrieval Systems and Search & Discovery, though the JD's core and secondary requirements for production ranking and retrieval system requirements for a founding AI engineer are only partially addressed."
CAND_0089552,93,0.281389,"Borderline inclusion: 6 years as Machine Learning Engineer at Netflix yields hands-on depth in Vector Search and Semantic Search, but the match quality on the JD's primary signals for production ranking and retrieval system requirements for a founding AI engineer is below the median. Note: a 120-day notice period."
CAND_0033861,94,0.281014,"Weaker match overall: Senior NLP Engineer at Mad Street Den (8 yrs) demonstrates hands-on depth in Vector Search and Sentence Transformers, yet the profile falls short on multiple must-have criteria for production ranking and retrieval system requirements for a founding AI engineer. Note: a low recruiter response rate (16%)."
CAND_0009837,95,0.279924,Outside the stronger cohort despite hands-on depth in Faiss and Qdrant: 4.3 years as Senior Data Scientist at Rephrase.ai leaves notable gaps in the criteria most weighted for production ranking and retrieval system requirements for a founding AI engineer. Note: experience fit is below the ideal range for this role.
CAND_0060072,96,0.223276,"Partial overlap with the JD: Staff Machine Learning Engineer at Amazon (5.7 yrs) brings hands-on depth in Embeddings and Sentence Transformers, yet coverage of the full requirement set for production ranking and retrieval system requirements for a founding AI engineer is incomplete. Note: a 90-day notice period."
CAND_0094759,97,0.221723,"Thin evidence overall: Lead AI Engineer at Meta (8.6 yrs) with hands-on depth in Vector Search and Semantic Search, though the JD's core and secondary requirements for production ranking and retrieval system requirements for a founding AI engineer are only partially addressed. Note: a low recruiter response rate (11%)."
CAND_0007411,98,0.216109,"Borderline inclusion: 8 years as Senior Machine Learning Engineer at Amazon yields hands-on depth in Information Retrieval and Vector Search, but the match quality on the JD's primary signals for production ranking and retrieval system requirements for a founding AI engineer is below the median. Note: a low recruiter response rate (12%)."
CAND_0041611,99,0.205746,"Peripheral fit: 6.4 years as Staff Machine Learning Engineer at Locobuzz with hands-on depth in Sentence Transformers and Weaviate, though critical coverage gaps push this profile to the lower tier for production ranking and retrieval system requirements for a founding AI engineer. Note: a low recruiter response rate (7%)."
CAND_0092278,100,0.203407,"Lower-confidence match: hands-on depth in Vector Search and Semantic Search is present across 6.8 years as Senior NLP Engineer at Microsoft, but cross-channel scores trail the stronger candidates for production ranking and retrieval system requirements for a founding AI engineer. Note: a 90-day notice period."
